cell_line,model,rows_total,train_rows_before_augmentation,train_rows_after_augmentation,test_rows,input_features,r2_score,rmse,mae,pearson_rp,spearman_rs,train_time_sec,model_path_x,prediction_file,status,error,selected_model,model_path_y
M14,XGBoost,2425,2182,4364,243,526,0.4845041797598883,43.2148573412455,30.14067469984906,0.6968049740050442,0.611828207471374,2.3012943267822266,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_M14.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_M14.csv,success,,XGBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_M14.pkl
MALME-3M,RandomForest,2439,2195,4390,244,526,0.3821057926954133,36.86855927156636,28.642950546448088,0.6219782691906045,0.6182421755684678,10.840291500091553,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_MALME_3M.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_MALME_3M.csv,success,,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_MALME_3M.pkl
MCF7,RandomForest,2441,2196,4392,245,526,0.5513889070909517,35.8850490921133,25.9587734888241,0.745631201203823,0.6940574093534954,10.838935375213625,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_MCF7.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_MCF7.csv,success,,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_MCF7.pkl
MDA-MB-231/ATCC,CatBoost,2440,2196,4392,244,526,0.4307393535110015,36.61174674332229,27.9507336824716,0.6608601008819892,0.5476259622492272,4.774915933609009,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_MDA_MB_231_ATCC.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_MDA_MB_231_ATCC.csv,success,,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_MDA_MB_231_ATCC.pkl
MDA-MB-435,LightGBM,2379,2141,4282,238,526,0.4810283647743073,45.90443715702578,33.059256359801864,0.6941533676485613,0.6370138501398284,3.252553939819336,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_MDA_MB_435.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_MDA_MB_435.csv,success,,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_MDA_MB_435.pkl
MDA-MB-468,RandomForest,2424,2181,4362,243,526,0.1722536600149961,46.15821163892587,34.34492141877327,0.4412675542951451,0.4450775240218008,10.769359588623049,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_MDA_MB_468.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_MDA_MB_468.csv,success,,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_MDA_MB_468.pkl
MOLT-4,LightGBM,2349,2114,4228,235,526,0.3660001533614532,98.0178924068492,54.58325015156834,0.6189988712456049,0.6712330986018172,3.017275094985962,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_MOLT_4.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_MOLT_4.csv,success,,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_MOLT_4.pkl
NCI-H226,RandomForest,2437,2193,4386,244,526,0.337751763828516,43.01266702601394,33.106584153005464,0.5831017736960203,0.5299471310701364,10.912580728530884,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_NCI_H226.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_NCI_H226.csv,success,,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_NCI_H226.pkl
NCI-H23,CatBoost,2436,2192,4384,244,526,0.4773241982777502,41.24136545785079,29.528934663979037,0.70701360721557,0.6560934580072645,4.885976552963257,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_NCI_H23.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_NCI_H23.csv,success,,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_NCI_H23.pkl
NCI-H322M,XGBoost,2409,2168,4336,241,526,0.3497054308137788,50.53858938861458,36.13910829707115,0.5919308311060705,0.5915049315626268,2.4767792224884038,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_NCI_H322M.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_NCI_H322M.csv,success,,XGBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_NCI_H322M.pkl
