cell_line,selected_model,original_rows,augmented_training_rows,input_features,step5_r2_score,step5_rmse,step5_mae,step5_pearson_rp,step5_spearman_rs,final_model_path,train_time_sec,status,error
SF-295,CatBoost,2442,4884,526,0.3169675527127873,34.7476382373587,25.37764075688477,0.571453930218777,0.5499174666008767,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_SF_295.pkl,6.006552457809448,success,
SF-539,CatBoost,2427,4854,526,0.4790373362197755,38.235992488235205,27.291911134602948,0.7014358671470864,0.4897912952278138,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_SF_539.pkl,5.662973403930664,success,
SK-MEL-2,XGBoost,2340,4680,526,0.4139797778488497,50.6633783467762,36.70064268961677,0.6449741899837247,0.5263851010661396,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_SK_MEL_2.pkl,2.7651422023773193,success,
SK-MEL-28,RandomForest,2434,4868,526,0.3780403202322491,38.91051042462868,29.512522950819672,0.6169358771266051,0.5850298772196488,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_SK_MEL_28.pkl,14.671742916107178,success,
SK-MEL-5,LightGBM,2425,4850,526,0.6460638033041454,52.68849437148816,38.02998368016657,0.8046338210909781,0.763273766196346,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_SK_MEL_5.pkl,4.945691823959351,success,
SK-OV-3,XGBoost,2430,4860,526,0.3360740189994737,30.52568682937453,23.89772451898934,0.5812333621184389,0.4889117267336335,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_SK_OV_3.pkl,3.3828775882720947,success,
SN12C,CatBoost,2435,4870,526,0.4514342677091547,31.805544858602293,25.084241356483663,0.6777213982522727,0.5675351879347759,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_SN12C.pkl,6.225298166275024,success,
SNB-19,RandomForest,2436,4872,526,0.3919544320993916,39.679152404294655,28.662953005464484,0.6290948658113569,0.5936348728539584,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_SNB_19.pkl,14.243569374084473,success,
SNB-75,CatBoost,2434,4868,526,0.384378122983689,43.75367748394777,28.30019502525546,0.6258227065831368,0.6610501923354208,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_SNB_75.pkl,6.391849517822266,success,
SR,LightGBM,2396,4792,526,0.3845983235497177,87.67523953796571,55.25682380205433,0.6215922777761561,0.6408261636331456,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_SR.pkl,4.408982038497925,success,
SW-620,LightGBM,2434,4868,526,0.5930825429312327,37.61536037903785,28.52055626375083,0.7727146887203035,0.6826805581371849,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_SW_620.pkl,3.600421190261841,success,
T-47D,XGBoost,2416,4832,526,0.2915741948876419,45.07708050073079,32.72338382811247,0.5414003874046437,0.4965315980612962,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_T_47D.pkl,3.017803430557251,success,
TK-10,XGBoost,2424,4848,526,0.3319031604215432,39.7282971428767,27.31168086973207,0.5867363671421426,0.5440294385320498,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_TK_10.pkl,3.2485928535461426,success,
U251,XGBoost,2433,4866,526,0.2890887556947715,41.52765880640888,25.7957348134674,0.5382626199573282,0.4588064851236227,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_U251.pkl,3.1802613735198975,success,
UACC-257,CatBoost,2437,4874,526,0.4884410156701489,30.42589352101789,23.843306601473767,0.7055086911364452,0.7111639581537398,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_UACC_257.pkl,5.807186841964722,success,
UACC-62,LightGBM,2431,4862,526,0.2783409113216536,41.49366349925558,31.083495620265627,0.5546594679486385,0.5072968340401987,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_UACC_62.pkl,3.457101345062256,success,
UO-31,LightGBM,2403,4806,526,0.4889133224287566,28.85297270551668,21.092854798882755,0.6996398264994775,0.6720091961105928,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_UO_31.pkl,4.1396098136901855,success,
