cell_line,model,rows_total,train_rows_before_augmentation,train_rows_after_augmentation,test_rows,input_features,r2_score,rmse,mae,pearson_rp,spearman_rs,train_time_sec,model_path,prediction_file,status,error
CCRF-CEM,LightGBM,2399,2159,4318,240,526,0.3012837835204316,61.14664293934814,44.1136523958258,0.576484115878316,0.47058524840728394,3.1568496227264404,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_CCRF_CEM.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_CCRF_CEM.csv,success,
COLO 205,CatBoost,2426,2183,4366,243,526,0.34184715882785743,47.04313505331539,35.993181072865355,0.588018710601986,0.5326709077243356,4.895819187164307,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_COLO_205.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_COLO_205.csv,success,
COLO 205,LightGBM,2426,2183,4366,243,526,0.3335280030371114,47.33951773942659,36.35738767045099,0.5941651747512346,0.5442934099742376,3.033947467803955,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_COLO_205.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_COLO_205.csv,success,
COLO 205,RandomForest,2426,2183,4366,243,526,0.3280822358214581,47.53253073335395,35.9181720164609,0.5846817591696613,0.534050904753252,10.850847959518433,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_COLO_205.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_COLO_205.csv,success,
COLO 205,XGBoost,2426,2183,4366,243,526,0.29444724950999335,48.70769980434347,36.97651091343608,0.566318871896212,0.5310805656937386,2.667168617248535,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_COLO_205.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_COLO_205.csv,success,
DU-145,XGBoost,2427,2184,4368,243,526,0.4343445729831743,44.37948171157006,27.54441234113748,0.662433266661801,0.6162303281920778,2.573967456817627,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_DU_145.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_DU_145.csv,success,
DU-145,LightGBM,2427,2184,4368,243,526,0.42675542299572566,44.676199783590484,27.488318198702164,0.6584346402355702,0.6113646762083033,3.143690824508667,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_DU_145.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_DU_145.csv,success,
DU-145,CatBoost,2427,2184,4368,243,526,0.4151412183521842,45.126510749126396,28.00577099511364,0.662506943220547,0.5822489660178144,4.69713020324707,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_DU_145.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_DU_145.csv,success,
DU-145,RandomForest,2427,2184,4368,243,526,0.3668612394862809,46.952173110664916,27.400019753086422,0.6117350098643547,0.6196712035270583,10.993865489959717,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_DU_145.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_DU_145.csv,success,
EKVX,XGBoost,2439,2195,4390,244,526,0.5130317747452082,37.04319136612385,26.724034463040166,0.739068477690752,0.649059990292712,2.5157089233398438,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_EKVX.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_EKVX.csv,success,
